♆⎈MOUSSE IRLANDAISE⎈Éclaircisseur⎈g
♆⎈CHLORURE DE CALCIUM⎈Sel ou acide⎈g
♆⎈CHLORURE DE MAGNÉSIUM ⎈Sel ou acide⎈g
♆⎈SULFATE DE CALCIUM ⎈Sel ou acide⎈g
♆⎈SULFATE DE MAGNÉSIUM ⎈Sel ou acide⎈g
♆⎈'ÉCORCES D''ORANGES AMÈRES'⎈Agent de flaveur⎈g
♆⎈GRAINES DE CORIANDRE⎈Épice⎈g
♆⎈BICARBONATE DE SODIUM ⎈Sel ou acide⎈g
♆⎈CHAUX ÉTEINTE  ⎈Autre⎈l
♆⎈ACIDE LACTIQUE 80 %⎈Sel ou acide⎈ml
♆⎈ACIDE LACTIQUE 88 %⎈Sel ou acide⎈ml
♆⎈ACIDE PHOSPHORIQUE 85 %⎈Sel ou acide⎈ml
