id⎈name⎈country_code
♆⎈Allemagne⎈DE
♆⎈Australie⎈AU
♆⎈Autriche⎈AT
♆⎈Belgique⎈BE
♆⎈Bosnie-Herzégovine⎈BA
♆⎈Brésil⎈BR
♆⎈Bulgarie⎈BG
♆⎈Canada⎈CA
♆⎈Chine⎈CN
♆⎈Croatie⎈HR
♆⎈Danemark⎈DK
♆⎈Espagne⎈ES
♆⎈Estonie⎈EE
♆⎈Etats-Unis d'Amérique⎈US
♆⎈France⎈FR
♆⎈Grèce⎈GR
♆⎈Guadeloupe⎈GP
♆⎈Hongrie⎈HU
♆⎈Île de Man⎈IM
♆⎈Irlande⎈IE
♆⎈Islande⎈IS
♆⎈Italie⎈IT
♆⎈Lettonie⎈LV
♆⎈Lituanie⎈LT
♆⎈Luxembourg⎈LU
♆⎈Mexique⎈MX
♆⎈Norvège⎈NO
♆⎈Nouvelle-Zélande⎈NZ
♆⎈Pays-Bas⎈NL
♆⎈Pays inconnu⎈XX
♆⎈Pologne⎈PL
♆⎈Portugal⎈PT
♆⎈Roumanie⎈RO
♆⎈Royaume  Uni⎈GB
♆⎈Russie, Fédération de⎈RU
♆⎈Serbie⎈RS
♆⎈Slovaquie⎈SK
♆⎈Slovénie⎈SI
♆⎈Suède⎈SE
♆⎈Suisse⎈CH
♆⎈Tchèque, République⎈CZ
♆⎈Turquie⎈TR
♆⎈Ukraine⎈UA
